Client ,URL ,Location ,Telefoo,Directora ,Day of contact ,Visto Video? ,Follw up 1,Link Demo Generado,Color Extraido
,https://www.cirugiacapilar.es/,,,,,,,https://demos.agentminds.io/demo/cirugiacapilar?site=https://www.cirugiacapilar.es/&color=0BAFCE&voice=elevenlabs,#0BAFCE
,https://www.neocapilar.es/,,,,,,,https://demos.agentminds.io/demo/neocapilar?site=https://www.neocapilar.es/&color=211D18&voice=elevenlabs,#211D18
,https://clinicacapilarlauraagrelo.com/,,,,,,,https://demos.agentminds.io/demo/clinicacapilarlauraagrelo?site=https://clinicacapilarlauraagrelo.com/&color=9F5602&voice=elevenlabs,#9F5602
,https://clinicacapilarvelazquez.es/,,,,,,,https://demos.agentminds.io/demo/clinicacapilarvelazquez?site=https://clinicacapilarvelazquez.es/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://www.clinicacr.es/,,,,,,,https://demos.agentminds.io/demo/clinicacr?site=https://www.clinicacr.es/&color=816223&voice=elevenlabs,#816223
,https://drpelo.es/,,,,,,,https://demos.agentminds.io/demo/drpelo?site=https://drpelo.es/&color=C0030A&voice=elevenlabs,#C0030A
,https://vincihairclinic.com/en/,Malaga ,,,,,,https://demos.agentminds.io/demo/vincihairclinic?site=https://vincihairclinic.com/en/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://injertocapilarfuejerez.com/,Malaga ,,,,,,https://demos.agentminds.io/demo/injertocapilarfuejerez?site=https://injertocapilarfuejerez.com/&color=040404&voice=elevenlabs,#040404
,https://www.clinicabalari.com/casos/,Malaga ,,,,,,https://demos.agentminds.io/demo/clinicabalari?site=https://www.clinicabalari.com/casos/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://beimancapilar.com/,Malaga ,,,,,,https://demos.agentminds.io/demo/beimancapilar?site=https://beimancapilar.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://www.drpanno.com/,Puerto Banus,,,,,,https://demos.agentminds.io/demo/drpanno?site=https://www.drpanno.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://sanlucarhairclinic.es/,,,,,,,https://demos.agentminds.io/demo/sanlucarhairclinic?site=https://sanlucarhairclinic.es/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://micropigmentacioncapilarcadiz.com/,,,,,,,https://demos.agentminds.io/demo/micropigmentacioncapilarcadiz?site=https://micropigmentacioncapilarcadiz.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://www.albertogorrochategui.es/,,,,,,,https://demos.agentminds.io/demo/albertogorrochategui?site=https://www.albertogorrochategui.es/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://www.draraya.com/,,,,,,,https://demos.agentminds.io/demo/draraya?site=https://www.draraya.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://www.svenson.es/,Valencia,,,,,,https://demos.agentminds.io/demo/svenson?site=https://www.svenson.es/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://clinicasaludcapilar.com/,Valencia,,,,,,https://demos.agentminds.io/demo/clinicasaludcapilar?site=https://clinicasaludcapilar.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://www.medicalhair.es/valencia/,Valencia,,,,,,https://demos.agentminds.io/demo/medicalhair?site=https://www.medicalhair.es/valencia/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://zira.clinic/,Valencia,,,,,,https://demos.agentminds.io/demo/zira?site=https://zira.clinic/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://www.clinicadefreitas.com/,Valencia,,,,,,https://demos.agentminds.io/demo/clinicadefreitas?site=https://www.clinicadefreitas.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://mrgrupoclinico.com/,Valencia,,,,,,https://demos.agentminds.io/demo/mrgrupoclinico?site=https://mrgrupoclinico.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
